region,provincia,comune,PRO_COM2011,data_elezioni,elettori,votanti,voti_non_validi,schede_bianche,totalevotilista,totaleseggi,DCtotalevoti,DCtotaleseggi,PSItotalevoti,PSItotaleseggi,PCItotalevoti,PCItotaleseggi,OtherParties_voti,OtherParties_seggi
Puglia,Lecce,Casarano,75016,13/06/1971,10894,8631,203,74,8428,30,4052,15,1813,6,522,2,2041,7
Puglia,Lecce,Melissano,75044,22/11/1970,3989,3537,39,18,3498,20,1318,8,370,2,1593,9,217,1
Puglia,Lecce,Trepuzzi,75087,13/06/1971,7737,6967,123,46,6844,30,1798,9,1307,6,1758,8,1981,7
Puglia,Lecce,Ugento,75090,22/11/1970,6082,4433,75,23,4358,20,1604,8,276,1,1526,7,952,4
Puglia,Taranto,Avetrana,73001,13/06/1971,3753,3009,38,30,2971,20,742,5,247,1,921,7,1061,7
Puglia,Taranto,Crispiano,73004,13/06/1971,5726,5101,124,24,4977,20,1664,7,622,2,451,2,2240,9
Puglia,Bari,Acquaviva Delle Fonti,72001,07/06/1970,9830,9175,304,184,8871,30,3365,12,2502,9,1738,6,1266,3
Puglia,Bari,Alberobello,72003,07/06/1970,6269,5704,229,120,5475,20,2398,9,755,3,1260,5,1062,3
Puglia,Bari,Altamura,72004,07/06/1970,25658,24289,679,313,23610,40,10029,18,2211,4,6576,11,4794,7
Puglia,Barletta-Andria-Trani,Bisceglie,110003,07/06/1970,25222,22816,730,370,22086,40,9188,18,2385,4,7341,15,3172,3
Puglia,Bari,Bitetto,72010,07/06/1970,4317,3927,121,71,3806,20,1830,10,441,2,430,2,1105,6
Puglia,Barletta-Andria-Trani,Canosa di Puglia,110004,07/06/1970,19322,17279,702,393,16577,40,5166,14,1061,2,6316,17,4034,7
Puglia,Bari,Cassano Delle Murge,72016,07/06/1970,4682,4286,139,86,4147,20,1461,8,618,3,885,4,1183,5
Puglia,Bari,Castellana Grotte,72017,07/06/1970,9579,8672,334,182,8338,30,4953,19,1090,4,1481,5,814,2
Puglia,Bari,Conversano,72019,07/06/1970,11837,11130,463,284,10667,30,4138,12,3477,10,1859,5,1193,3
Puglia,Bari,Giovinazzo,72022,07/06/1970,10484,8906,313,183,8593,30,4299,16,600,2,2627,9,1067,3
Puglia,Bari,Gravina in Puglia,72023,07/06/1970,18469,17210,312,129,16898,40,5593,14,1631,4,7186,17,2488,5
Puglia,Bari,Grumo Appula,72024,07/06/1970,7307,6331,247,159,6084,30,3083,16,730,3,1166,6,1105,5
Puglia,Bari,Locorotondo,72025,07/06/1970,7612,7116,277,141,6839,30,2147,10,535,2,839,4,3318,14
Puglia,Bari,Modugno,72027,07/06/1970,10100,9261,314,141,8947,30,4480,16,1936,7,1247,4,1284,3
Puglia,Bari,Mola di Bari,72028,07/06/1970,15098,11951,476,246,11476,30,5398,15,1699,5,1688,5,2691,5
Puglia,Bari,Molfetta,72029,07/06/1970,40119,32758,1139,573,31619,40,13456,18,5805,8,6446,9,5912,5
Puglia,Bari,Monopoli,72030,07/06/1970,24411,21687,755,332,20932,40,9246,18,4108,8,2233,4,5345,10
Puglia,Bari,Noci,72031,07/06/1970,10745,9540,325,150,9215,30,3124,11,1492,5,1626,5,2973,9
Puglia,Bari,Noicattaro,72032,07/06/1970,7945,7494,288,113,7206,30,2297,10,1801,8,1433,6,1675,6
Puglia,Bari,Palo del Colle,72033,07/06/1970,8957,7208,287,152,6921,30,3848,17,252,1,1501,7,1320,5
Puglia,Bari,Polignano A Mare,72035,07/06/1970,8461,7828,283,138,7545,30,2361,10,618,2,1406,6,3160,12
Puglia,Bari,Santeramo in Colle,72041,07/06/1970,12834,11227,417,27,10810,30,3413,10,1320,4,2982,9,3095,7
Puglia,Bari,Torito,72044,07/06/1970,4866,3996,85,58,3911,20,1961,11,325,1,656,3,969,5
Puglia,Bari,Triggiano,72046,07/06/1970,11618,9446,408,167,9038,30,4777,18,772,2,1761,6,1728,4
Puglia,Bari,Valenzano,72048,07/06/1970,4865,4157,158,90,3999,20,2029,11,0,0,507,2,1463,7
Puglia,Brindisi,Brindisi,74001,07/06/1970,46493,43163,1572,816,41591,40,17461,18,5069,5,0,0,19061,17
Puglia,Brindisi,Carovigno,74002,07/06/1970,7592,6707,263,152,6444,30,2549,12,1177,5,2028,10,690,3
Puglia,Brindisi,Erchie,74006,07/06/1970,4102,3561,149,108,3412,20,1409,9,199,1,486,3,1318,7
Puglia,Brindisi,Francavilla Fontana,74008,07/06/1970,17693,16424,511,260,15913,40,6697,18,519,1,5578,14,3119,7
Puglia,Brindisi,Latiano,74009,07/06/1970,8838,8193,284,172,7909,30,2828,11,787,3,3204,12,1090,4
Puglia,Brindisi,Mesagne,74010,07/06/1970,17382,15633,374,239,15259,30,6811,14,955,2,6470,14,1023,0
Puglia,Brindisi,San Pancrazio Salentino,74015,07/06/1970,5631,4944,132,91,4812,20,2531,12,839,3,972,4,470,1
Puglia,Brindisi,San Vito Dei Normanni,74017,07/06/1970,12488,10666,493,279,10173,20,5685,8,795,2,2724,8,969,2
